90604,67124,47768,3
64907,4019,49084,0
8659,70672,52828,0
8448,81833,81833,2
53714,47455,21371,3
4445,37068,27699,0
57681,57681,57681,1
47723,47723,47723,1
67766,67766,67766,1
68710,84886,7719,0
72888,72888,72888,1
66207,96747,96747,2
48379,48379,17144,2
30614,30614,30614,1
89042,89042,89042,1
46344,46344,88257,2
14057,14057,14057,1
5665,5665,5665,1
69860,79900,12619,3
53228,53228,53228,1
53985,42049,62352,3
13066,13066,13066,1
18721,18721,18721,1
6872,77112,6872,0
86118,9448,54627,0
63217,13151,63217,2
17366,17366,17366,1
89253,56542,89253,2
44969,20675,73402,0
21692,72465,79160,3
8001,8001,8001,1
15480,15480,15480,1
97420,97420,88345,2
39114,79064,20361,0
57928,57928,57928,1
79460,65331,65331,2
16991,63532,16991,0
16011,14958,68875,0
85300,72776,72776,2
19908,37613,76653,0
10168,3284,79607,0
72185,65683,65683,2
75919,75919,75919,1
92595,32961,92595,2
75799,75799,75799,1
8658,21271,21271,2
87961,87961,87961,1
52909,52909,52909,1
95925,8834,95925,2
88884,88884,88884,1
87122,87122,87122,1
10176,27628,76455,0
92278,84233,53198,3
89052,89052,89052,1
93315,93315,93315,1
47129,47129,47129,1
73685,52621,52621,2
83295,42458,9353,0
14044,19236,52697,0
61870,94442,44872,3
94505,94505,94505,1
47438,81502,81502,2
59827,47692,47692,2
76281,55710,55710,2
55722,55722,55722,1
77633,3167,19342,0
95714,45279,47830,0
63515,1625,1625,0
96360,96360,55898,2
91164,51595,41397,3
31596,14988,52412,0
9668,9668,9668,1
12222,12222,40614,0
26514,47118,96575,0
14036,14036,18316,2
14780,14780,65268,0
39353,39353,39353,1
19262,65721,19262,0
1333,1333,1333,1
84334,79804,46823,3
33554,33554,64862,2
65532,65532,65532,1
81057,33723,68798,3
46538,25180,46538,2
91509,67074,91509,2
43405,43405,32385,2
57035,57035,57035,1
1484,75842,1484,0
9945,60869,60869,2
40642,40642,72427,2
87181,43897,87181,2
11839,56857,26978,0
97268,78237,78237,2
29543,12945,86591,0
26901,26901,88981,0
49627,70598,78275,3
50984,26500,58300,3
39226,40288,37998,3
63434,54278,78880,3
26601,26601,26601,1
20536,98054,77343,0
77105,1451,57322,0
84475,84475,37788,2
67137,71470,67137,2
83090,34998,40100,0
14797,56334,32293,0
87175,87175,90517,2
89082,53790,26859,0
25359,27789,1714,0
57662,8856,69165,0
92916,44137,44137,0
18695,24345,24345,2
25155,24935,31986,3
64004,64004,64004,1
25328,18689,26199,3
76201,3031,3031,0
70585,11384,11384,0
75507,57534,75507,2
6527,6527,6527,1
63017,68749,79282,3
36836,36836,36836,1
12825,82106,12825,0
12926,90967,90967,2
11390,40991,62839,0
22228,22228,22228,1
54948,54948,54948,1
83045,83045,83045,1
34918,34918,34918,1
88749,21132,24994,0
78016,19745,21250,0
49400,49400,76110,2
87258,94063,87258,2
947,947,947,1
1018,1018,81265,0
96371,87755,16873,3
36691,36691,36691,1
17275,17275,89851,0
78283,78283,78283,1
47643,47643,47643,1
76935,89254,76935,2
76922,67209,80343,3
81821,48748,48748,2
39679,39679,39679,1
67134,67134,67134,1
9313,65015,70985,3
85497,85497,85497,1
85218,85218,85218,1
3920,11190,11190,2
